Instruction list for ForwardCom instruction set. Version 1.07,,,,,,,,,,,,,
Name,Id,Category,Formats,Template,Template variant,Source operands,OP1,OP2,Operand types general purpose registers,Operand types scalar,Operand types vectors,Immediate operand type,Description
nop,0x30000,3,0x00000FFF,0,D0,0,0,0,0x000F,0xFF,0,0,no operation
nop2,0x30200,3,0xFFFFF000,0,D0,0,0,0,0x000F,0xFF,0,0,no operation
nop3,0x30300,3,0xFFFFF00000000,0,D0,0,0,0,0x000F,0xFF,0,0,no operation
nop_t,0x20000,2,1,0x1,D0,0,0,0,0x000F,0,0,0,no operation
store,1,3,0xA0900F0FA3F0,0,M0,1,1,0,0x000F,0x906F,0x906F,0,store value of register to memory
move,2,3,-1,0,,1,2,0,0x000F,0x906F,0x906F,0,copy value to register
prefetch,3,3,0xA0900F0FA3F0,0,D04,1,3,0,0x000F,0x906F,0x906F,0,prefetch to cache
sign_extend,4,3,-1,0,,1,4,0,0x0007,0x0007,0x0007,0,sign extend to 64 bits
sign_extend_add,5,3,-1,0,,2,5,0,0x0700,0,0,0,sign extend to 64 bits and add 64 bit register
compare,7,3,-1,0,O6U3,2,7,0,0x000F,0x906F,0x906F,0,"compare two operands, return condition code"
add,8,3,-1,0,,2,8,0,0x000F,0x906F,0x906F,0,addition
sub,9,3,-1,0,,2,9,0,0x000F,0x906F,0x906F,0,subtraction
sub_rev,10,3,-1,0,,2,10,0,0x000F,0x906F,0x906F,0,subtraction. Operands swapped
mul,11,3,-1,0,,2,11,0,0x000F,0x906F,0x9867,0,multiply (low part of result for integer operands)
mul_hi,12,3,-1,0,,2,12,0,0x0B04,0x1B04,0x1F00,0,"multiply signed integers, high part of result"
mul_hi_u,13,3,-1,0,U0,2,13,0,0x0B04,0x1B04,0x1F00,0,"multiply unsigned integers, high part of result"
mul_ex,14,3,0xFF000FF00C0FC,0,,2,14,0,0x0B04,0x1B04,0x1F00,0,"multiply signed integers in even vector elements, double size result"
mul_ex_u,15,3,0xFF000FF00C0FC,0,U0,2,15,0,0x0B04,0x1B04,0x1F00,0,"multiply unsigned integers in even vector elements, double size result"
div,16,3,-1,0,O4,2,16,0,0x000F,0x906F,0xFF00,0,division
div_u,17,3,-1,0,O4U0,2,17,0,0x000F,0x100F,0x100F,0,unsigned integer division
div_rev,18,3,-1,0,O4,2,18,0,0x000F,0x906F,0xFF00,0,division. Operands swapped
rem,20,3,-1,0,,2,20,0,0x000F,0x906F,0xFF00,0,"remainder or modulo, signed"
rem_u,21,3,-1,0,U0,2,21,0,0x000F,0x000F,0x0F00,0,remainder or modulo for unsigned integers
min,22,3,-1,0,,2,22,0,0x000F,0x906F,0x906F,0,minimum of unsigned integers
min_u,23,3,-1,0,U0,2,23,0,0x000F,0x100F,0x100F,0,minimum of unsigned integers
max,24,3,-1,0,,2,24,0,0x000F,0x906F,0x906F,0,maximum of signed numbers
max_u,25,3,-1,0,U0,2,25,0,0x000F,0x100F,0x100F,0,maximum of unsigned integers
min_abs,23,3,-1,0,,2,23,0,0x8060,0x8060,0x8060,0,minimum of absolute values of floating point numbers
max_abs,25,3,-1,0,,2,25,0,0x8060,0x8060,0x8060,0,maximum of absolute values of floating point numbers
and,28,3,-1,0,,2,28,0,0x000F,0x906F,0x906F,0,bitwise and
and_not,29,3,-1,0,,2,29,0,0x000F,0x906F,0x906F,0,bitwise src1 and not src2
or,30,3,-1,0,,2,30,0,0x000F,0x906F,0x906F,0,bitwise and
xor,31,3,-1,0,,2,31,0,0x000F,0x906F,0x906F,0,bitwise exclusive or
shift_left,32,3,0x7F7F0FFFFAFFF,0,I2M1,2,32,0,0x100F,0x100F,0x100F,0,shift integer bits left
mul_2pow,32,3,0x7F7F0FFFFAFFF,0,I2M1,2,32,0,0x0000,0x8060,0x8060,0,Multiply float by power of 2
rotate,33,3,0x7F7F0FFFFAFFF,0,I2M1,2,33,0,0x100F,0x100F,0x100F,0,"rotate bits left if src2 positive, right if negative"
shift_right_s,34,3,0x7F7F0FFFFAFFF,0,I2M1,2,34,0,0x100F,0x100F,0x100F,0,shift integer bits right with sign extension
shift_right_u,35,3,0x7F7F0FFFFAFFF,0,I2M1U0,2,35,0,0x100F,0x100F,0x100F,0,shift integer bits right with sign extension
set_bit,36,3,0x7F7F0FFFFAFFF,0,I2M1,2,36,0,0x000F,0x906F,0x906F,0,set single bit
clear_bit,37,3,0x7F7F0FFFFAFFF,0,I2M1,2,37,0,0x000F,0x906F,0x906F,0,clear single bit
toggle_bit,38,3,0x7F7F0FFFFAFFF,0,I2M1,2,38,0,0x000F,0x906F,0x906F,0,toggle single bit
